1	2
1	3
1	4
1	5
1	6
1	284
1	7
2	100
3	231
3	252
6	221
7	8
7	9
7	10
7	11
7	12
7	13
7	14
11	189
15	16
15	17
15	18
15	19
15	20
15	278
15	21
21	22
21	23
21	24
21	25
21	26
21	27
21	28
21	29
21	30
21	31
21	32
21	33
33	34
33	35
33	36
33	37
33	38
33	39
39	40
39	41
39	42
39	43
39	44
39	45
39	277
39	46
41	265
46	47
46	48
46	49
46	50
46	51
46	52
46	53
46	54
54	193
55	56
55	57
55	58
55	59
55	60
55	61
55	279
62	63
62	64
62	65
62	66
62	67
62	68
62	69
62	70
62	277
62	285
62	71
63	64
63	65
63	66
63	67
63	68
63	69
63	70
63	130
64	65
64	66
64	67
64	68
64	69
64	70
65	66
65	67
65	68
65	69
65	70
66	67
66	68
66	69
66	70
67	68
67	69
67	70
68	69
68	70
68	210
69	70
71	72
71	73
71	74
71	75
71	76
71	77
72	73
72	74
72	75
72	76
72	77
73	74
73	75
73	76
73	77
74	75
74	76
74	77
75	76
75	77
76	77
78	79
78	80
78	81
78	82
78	83
78	84
78	284
78	103
79	80
79	81
79	82
79	83
79	84
80	81
80	82
80	83
80	84
81	82
81	83
81	84
82	83
82	84
83	84
85	86
85	87
85	88
85	89
85	90
85	91
85	92
85	93
85	285
86	87
86	88
86	89
86	90
86	91
86	92
86	93
87	88
87	89
87	90
87	91
87	92
87	93
88	89
88	90
88	91
88	92
88	93
89	90
89	91
89	92
89	93
89	177
90	91
90	92
90	93
91	92
91	93
92	93
94	95
94	96
94	97
94	98
94	99
94	100
94	280
94	101
95	96
95	97
95	98
95	99
95	100
96	97
96	98
96	99
96	100
97	98
97	99
97	100
98	99
98	100
99	100
101	102
101	103
101	104
101	105
101	106
101	107
101	198
102	103
102	104
102	105
102	106
103	104
103	105
103	106
104	105
104	106
105	106
107	108
107	109
107	110
107	111
108	109
108	110
108	111
109	110
109	111
110	111
112	113
112	114
112	115
112	116
112	117
112	118
112	119
112	120
112	282
113	114
113	115
113	116
113	117
113	118
113	119
113	120
114	115
114	116
114	117
114	118
114	119
114	120
115	116
115	117
115	118
115	119
115	120
116	117
116	118
116	119
116	120
117	118
117	119
117	120
118	119
118	120
119	120
121	122
121	129
121	278
121	280
121	282
121	130
122	123
129	128
123	124
124	125
125	126
126	127
127	128
130	131
130	143
130	144
131	132
143	142
132	133
133	134
134	135
135	136
136	137
137	138
138	139
139	140
140	141
141	142
141	242
144	145
144	152
145	146
152	151
146	147
147	148
148	149
149	150
150	151
153	154
153	163
153	286
154	155
163	162
155	156
156	157
157	158
158	159
159	160
160	161
161	162
164	165
164	175
164	280
165	166
175	174
166	167
167	168
168	169
169	170
170	171
171	172
172	173
173	174
176	177
176	189
176	282
177	178
189	188
178	179
179	180
180	181
181	182
182	183
183	184
184	185
185	186
185	195
186	187
187	188
190	191
190	197
190	284
190	286
190	198
191	192
197	196
192	193
193	194
194	195
195	196
198	199
198	212
199	200
212	211
200	201
201	202
202	203
203	204
204	205
205	206
206	207
207	208
208	209
209	210
210	211
213	214
213	283
213	284
214	215
215	216
216	217
217	218
217	271
218	219
219	220
220	221
220	286
221	273
222	223
222	285
222	227
223	224
224	225
225	226
226	227
227	228
229	230
229	280
229	281
229	283
229	239
230	231
231	232
232	233
233	234
234	235
235	236
236	237
237	238
239	240
240	241
240	285
241	242
242	243
243	244
245	246
245	278
245	279
246	247
247	248
248	249
248	278
249	250
250	251
251	252
253	254
253	281
254	255
255	256
256	257
256	269
257	258
258	259
259	260
260	261
261	262
263	264
263	286
263	269
264	265
265	266
266	267
267	268
269	270
270	271
271	272
272	273
273	274
274	275
275	276
